Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
,Switzerland,222.9,146.5,73.2,66.3,126.0,7.3,25.6,24.1,-
,Germany,195.9,111.8,71.5,75.6,76.3,6.6,31.1,28.3,-
,Sweden,193.9,110.9,57.9,76.3,82.9,9.2,26.9,15.1,-
,United States,192.5,126.1,50.0,67.8,76.5,2.6,36.0,31.4,-
,Finland,190.2,101.2,70.5,69.4,89.7,7.0,33.2,14.9,-
,Denmark,190.2,105.7,74.3,79.3,100.6,5.0,27.8,31.8,-
,Austria,182.6,104.6,73.8,78.4,76.9,9.6,25.9,34.0,-
,Australia,180.8,110.4,57.8,71.9,99.3,7.1,36.2,21.6,-
,Canada,177.6,105.1,62.5,69.6,81.8,5.5,38.9,27.3,-
,New Zealand,175.5,91.0,60.2,72.6,93.7,5.8,28.1,17.6,-
,Norway,175.1,96.3,68.8,75.5,118.6,7.7,25.3,23.7,-
,Saudi Arabia,169.4,126.2,65.4,59.0,50.4,3.1,26.1,71.0,-
,Japan,168.3,98.2,79.8,87.1,80.4,9.2,51.0,38.2,-
,Netherlands,166.8,102.0,64.6,67.2,86.0,6.2,35.5,35.0,-
,Turkmenistan,157.1,59.7,82.1,77.2,38.1,13.0,11.8,28.4,-
,United Kingdom,156.9,98.1,58.0,73.9,92.2,8.6,34.0,34.0,-
,Cyprus,154.9,71.0,68.4,78.4,72.5,7.4,19.0,32.9,-
,United Arab Emirates,153.7,104.6,77.8,55.6,67.2,6.2,29.9,61.3,-
,Ireland,148.9,95.7,50.9,49.5,92.1,6.1,32.6,28.0,-
,Qatar,144.9,113.0,79.0,75.9,74.0,6.6,29.3,87.7,-
,Estonia,144.6,51.4,71.9,73.1,61.2,11.6,22.4,15.5,-
,France,139.3,92.6,50.3,82.6,88.4,9.7,28.6,45.9,-
,Belgium,136.0,86.2,58.0,77.9,87.2,6.5,26.7,53.8,-
,Spain,134.9,76.7,66.1,73.2,65.7,9.6,28.9,46.3,-
,Slovenia,134.5,64.2,71.3,53.9,65.1,10.6,18.8,31.4,-
,Portugal,129.2,58.2,64.2,65.6,58.2,8.3,28.2,32.6,-
,Czech Republic,127.5,68.1,67.1,67.2,48.5,10.6,31.5,42.9,-
,Puerto Rico,125.7,94.4,32.9,58.7,73.5,4.5,32.0,48.0,-
,Kuwait,123.4,85.7,56.5,66.6,93.0,6.1,25.0,59.6,-
,Israel,120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,-
,South Korea,120.0,85.8,82.0,78.1,82.9,11.0,31.3,77.1,-
,Lithuania,112.9,46.9,63.3,70.1,52.8,12.9,31.3,29.6,-
,Croatia,112.3,50.5,70.7,57.3,58.9,12.5,30.5,32.8,-
,Singapore,111.3,75.4,82.4,66.1,93.6,21.4,44.1,40.4,-
,South Africa,110.9,101.8,21.6,60.1,45.6,3.1,43.0,65.2,-
,Poland,109.7,63.5,67.0,58.0,45.1,10.6,34.7,50.6,-
,Slovakia,109.1,56.0,66.7,57.3,51.6,8.6,30.4,47.9,-
,Italy,101.0,79.4,52.5,65.8,82.7,11.7,35.9,57.7,-
,Latvia,99.0,44.4,62.8,67.1,55.9,12.2,24.0,43.4,-
,Greece,94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,-
,Hungary,93.1,46.9,58.2,51.6,48.9,8.6,30.1,46.3,-
,Uruguay,93.1,44.9,52.8,67.9,68.6,11.2,45.0,31.7,-
,Taiwan,92.5,69.9,78.1,84.3,57.1,25.0,28.2,67.6,-
,Panama,89.3,43.3,49.9,82.1,55.2,10.8,28.1,50.9,-
,Malaysia,85.3,73.5,30.0,69.1,46.0,8.4,39.4,64.7,-
,Mexico,85.0,59.5,46.2,67.8,41.3,6.3,36.9,68.8,-
,Bahrain,84.1,59.7,60.0,84.4,56.2,7.9,27.0,87.4,-
,Romania,83.6,40.6,70.3,46.6,42.4,11.8,30.7,50.5,-
,Hong Kong,83.0,74.9,80.8,80.6,75.2,30.1,46.2,59.5,-
,Turkey,82.5,53.6,63.6,74.0,49.6,6.7,46.3,74.3,-
,India,78.6,65.8,53.5,66.9,26.3,10.1,45.2,77.7,-
,Argentina,77.0,59.4,37.6,75.2,67.1,11.6,41.4,55.9,-
,Bosnia And Herzegovina,73.5,44.7,54.2,52.1,42.3,12.5,21.9,58.5,-
,Belarus,72.5,35.8,69.5,45.4,50.2,16.4,30.6,45.1,-
,Bulgaria,68.3,39.9,56.5,58.5,43.6,9.4,33.4,64.0,-
,Chile,65.5,55.1,55.0,58.5,53.2,10.8,40.8,72.4,-
,Georgia,65.0,26.2,78.0,62.6,39.6,15.2,38.0,58.8,-
,Serbia,60.3,39.1,56.6,54.1,43.3,17.1,27.8,56.6,-
,Sri Lanka,49.9,28.2,50.0,74.3,41.7,14.3,30.8,65.7,-
,Armenia,49.1,27.7,70.9,48.3,40.7,13.4,26.1,73.0,-
,Colombia,47.7,36.1,43.1,68.9,38.9,14.4,44.5,61.4,-
,Thailand,47.4,38.8,62.9,82.5,46.5,20.8,42.4,72.8,-
,Kazakhstan,47.0,43.5,53.3,58.9,54.3,12.7,41.8,73.7,-
,Ecuador,44.5,28.0,46.0,63.1,45.6,14.7,45.7,53.2,-
,Dominican Republic,43.6,28.2,32.3,78.7,55.9,11.5,27.5,65.3,-
,Moldova,42.1,23.7,50.3,52.7,34.7,17.1,24.6,57.2,-
,Jordan,38.6,38.7,54.5,69.7,61.4,8.6,51.4,85.6,-
,Philippines,37.0,35.4,56.9,71.7,40.0,18.5,45.5,74.2,-
,Lebanon,32.8,50.2,48.0,65.8,67.6,16.2,32.4,89.1,-
,Brazil,29.8,41.2,31.0,52.2,55.3,16.7,46.3,58.0,-
,North Macedonia,28.9,35.5,63.9,35.1,37.4,15.4,33.2,82.3,-
,Russia,28.4,38.9,48.7,51.8,61.9,14.6,47.1,72.8,-
,Indonesia,22.7,26.0,52.8,66.1,39.3,18.9,41.6,74.4,-
,Pakistan,21.8,33.2,38.8,51.2,30.7,14.3,25.1,83.7,-
,Ukraine,20.1,27.9,50.6,44.3,41.3,17.4,40.0,69.9,-
,China,16.0,48.6,58.3,58.7,48.9,26.4,37.5,89.4,-
,Kenya,7.3,28.7,27.4,62.7,50.0,16.8,65.2,62.2,-
,Bolivia,6.6,41.1,34.4,49.8,40.0,10.3,55.0,94.0,-
